Source,D:/Documents/GitHub/Muse-V2.0/Hardware/museV2.sch
Kicad Rev,Eeschema 4.0.4-stable
Generated Date,10/14/2016 3:07:46 PM

Title,muse v2.0
Company,Not Set
Revision,0
Date Issue,Not Set
Comment,All Rights Reserved
Comment,Created by: Jason Merlo

Reference,Value,Library,Library Ref
R105,4.7K,museV2-cache,R-RESCUE-museV2
R106,4.7K,museV2-cache,R-RESCUE-museV2
R107,4.7K,museV2-cache,R-RESCUE-museV2
R108,4.7K,museV2-cache,R-RESCUE-museV2
R109,4.7K,museV2-cache,R-RESCUE-museV2
R110,4.7K,museV2-cache,R-RESCUE-museV2
R104,4.7K,museV2-cache,R-RESCUE-museV2
R103,4.7K,museV2-cache,R-RESCUE-museV2
R102,4.7K,museV2-cache,R-RESCUE-museV2
R101,4.7K,museV2-cache,R-RESCUE-museV2
R100,4.7K,museV2-cache,R-RESCUE-museV2
R99,4.7K,museV2-cache,R-RESCUE-museV2
R98,4.7K,museV2-cache,R-RESCUE-museV2
R97,4.7K,museV2-cache,R-RESCUE-museV2
R96,4.7K,museV2-cache,R-RESCUE-museV2
R95,4.7K,museV2-cache,R-RESCUE-museV2
R87,0,museV2-cache,R-RESCUE-museV2
R88,0,museV2-cache,R-RESCUE-museV2
R89,0,museV2-cache,R-RESCUE-museV2
R90,0,museV2-cache,R-RESCUE-museV2
R91,0,museV2-cache,R-RESCUE-museV2
R92,0,museV2-cache,R-RESCUE-museV2
R93,0,museV2-cache,R-RESCUE-museV2
R94,0,museV2-cache,R-RESCUE-museV2
R111,470,museV2-cache,R-RESCUE-museV2
R112,470,museV2-cache,R-RESCUE-museV2
R113,470,museV2-cache,R-RESCUE-museV2
R114,470,museV2-cache,R-RESCUE-museV2
R115,470,museV2-cache,R-RESCUE-museV2
R116,470,museV2-cache,R-RESCUE-museV2
R117,470,museV2-cache,R-RESCUE-museV2
R118,470,museV2-cache,R-RESCUE-museV2
R119,470,museV2-cache,R-RESCUE-museV2
R120,470,museV2-cache,R-RESCUE-museV2
R121,470,museV2-cache,R-RESCUE-museV2
R122,470,museV2-cache,R-RESCUE-museV2
R123,470,museV2-cache,R-RESCUE-museV2
R124,470,museV2-cache,R-RESCUE-museV2
R125,470,museV2-cache,R-RESCUE-museV2
R126,470,museV2-cache,R-RESCUE-museV2
U22,PCA9685BS,museV2-cache,PCA9685BS
P6,CONN_02X14,conn,CONN_02X14
P8,CONN_01X01,conn,CONN_01X01
P10,CONN_01X01,conn,CONN_01X01
P12,CONN_01X01,conn,CONN_01X01
P14,CONN_01X01,conn,CONN_01X01
P17,CONN_01X01,conn,CONN_01X01
P19,CONN_01X01,conn,CONN_01X01
P21,CONN_01X01,conn,CONN_01X01
P23,CONN_01X01,conn,CONN_01X01
P30,CONN_01X01,conn,CONN_01X01
P29,CONN_01X01,conn,CONN_01X01
P27,CONN_01X01,conn,CONN_01X01
P11,CONN_01X01,conn,CONN_01X01
P9,CONN_01X01,conn,CONN_01X01
P7,CONN_01X01,conn,CONN_01X01
P13,CONN_01X01,conn,CONN_01X01
P16,CONN_01X01,conn,CONN_01X01
P15,CONN_01X01,conn,CONN_01X01
P20,CONN_01X01,conn,CONN_01X01
P18,CONN_01X01,conn,CONN_01X01
P22,CONN_01X01,conn,CONN_01X01
P24,CONN_01X01,conn,CONN_01X01
P26,CONN_01X01,conn,CONN_01X01
P25,CONN_01X01,conn,CONN_01X01
P28,CONN_01X01,conn,CONN_01X01
P39,CONN_01X01,conn,CONN_01X01
P36,CONN_01X01,conn,CONN_01X01
P33,CONN_01X01,conn,CONN_01X01
P42,CONN_01X01,conn,CONN_01X01
P38,CONN_01X01,conn,CONN_01X01
P35,CONN_01X01,conn,CONN_01X01
P32,CONN_01X01,conn,CONN_01X01
P41,CONN_01X01,conn,CONN_01X01
P37,CONN_01X01,conn,CONN_01X01
P34,CONN_01X01,conn,CONN_01X01
P31,CONN_01X01,conn,CONN_01X01
P40,CONN_01X01,conn,CONN_01X01
